Key,Id,English(en)
"Dialogs_Actions_ShowerGeneric_0_Player",62879973376,"I can hear someone taking a shower. I’d better not disturb them…"
"Dialogs_Actions_ToiletGeneric_0_Player",62905139200,"The door is locked."
"Dialogs_Generic_ChangeSportClothes_0_Player",62905139201,"""Let’s change into our sports clothes first"""
"Dialogs_Generic_ClosedDoorBasic_0_Player",62905139202,"""No answer..."""
"Dialogs_Generic_Date_Appointment_2_CantGo_0_Player",62909333504,"I'm sorry, but we can't go today"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_0_Mia",62909333505,"Why are you leaving so soon?"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_1_Mia",62909333506,"Next time, make sure you actually have enough time before inviting me"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_GoodDate_0_Mia",62909333507,"It was sooo nice, @{player}"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_0_Mia",62909333508,"Wow, I had sooo much fun"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_1_Mia",62909333509,"We must do it again!"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_LastStageDialog_0_Mia",62909333510,"I have to go now"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_BadDate_0_Mia",62909333511,"It was fun..."
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_GoodDate_0_Mia",62909333512,"It was a nice night"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_0_Mia",62909333513,"I had super fun time with you today, @{player}"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_1_Mia",62909333514,"Let’s do this again sometime"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Test_0_Player",62909333515,"Test"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_0_Mia",62909333516,"It was a little too short"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_1_Mia",62909333517,"Let’s hope you’re less rushed next time you invite me"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_GoodDate_0_Mia",62909333518,"It was a nice night, @{player}"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_0_Mia",62909333519,"Wow, I had sooo much fun"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_1_Mia",62909333520,"We must do it again!"
"Dialogs_Generic_Date_Bar_GamePlayerLostMorph1_0_LastSpoken",62909333521,"Ha-ha!"
"Dialogs_Generic_Date_Bar_PlayGame_0_Player",62909333522,"Let's play a game"
"Dialogs_Generic_Date_Bar_PlayGame_1_LastSpoken",62909333523,"Sure"
"Dialogs_Generic_Date_ReactToOrder_0_Mia",62909333524,"Thanks"
"Dialogs_Generic_Date_Restaurant_AfterScenes_GoodDate_0_Sarah",62909333525,"I'm having so much fun"
"Dialogs_Generic_Date_Restaurant_AfterScenes_NotGoodDate_0_Sarah",62909333526,"It was... nice"
"Dialogs_Generic_Date_Restaurant_LetsOrder_0_LastSpoken",62909333527,"Let's order something now"
"Dialogs_Generic_KnockGeneric_0_Player",62909333528,"*Knock knock*"
"Dialogs_Generic_KnockGeneric_1_LastSpoken",62909333529,"Come in!"
"Dialogs_Generic_LeavingBlocked_0_Player",62909333530,"I probably shouldn't leave until I finish all my tasks"
"Dialogs_Generic_NotEnoughMoney_0_Player",62909333531,"I don't have enough money for that"
"Dialogs_Generic_Shower_0_Player",62909333532,"""Someone's taking a shower..."""
"Dialogs_Generic_ToiletBesetzt_0_LastSpoken",62909333533,"Occupied!"
"Dialogs_Generic_WomanChanging_0_Player",62909333534,"""That’s the women’s changing room… I probably shouldn’t go in… at least not yet"""
"Dialogs_GroceryStory_1_ComeToStore_0_Player",62909333535,"""Alright, here I am"""
"Dialogs_GroceryStory_1_ComeToStore_1_Player",62909333536,"""The woman on the phone said she'd let someone know I’m coming"""
"Dialogs_GroceryStory_1_ComeToStore_2_Mia",62909333537,"@{player}!?"
"Dialogs_GroceryStory_1_ComeToStore_3_Mia",62909333538,"<shake>Hey there, @{player}!</shake>"
"Dialogs_GroceryStory_1_ComeToStore_4_Player",62909333539,"Hi..."
"Dialogs_GroceryStory_1_ComeToStore_5_Player",62909333540,"""That must be who the woman on the phone meant"""
"Dialogs_GroceryStory_1_ComeToStore_6_Player",62909333541,"""Let's talk to her"""
"Dialogs_GroceryStory_2_MiaTalk_0_Mia",62909333542,"Finally, a living soul!"
"Dialogs_GroceryStory_2_MiaTalk_1_Mia",62909333543,"Came to visit me?"
"Dialogs_GroceryStory_2_2CameToWork_0_Player",62909333544,"I came... to work..."
"Dialogs_GroceryStory_3_NoWay_0_Mia",62909333545,"No way!"
"Dialogs_GroceryStory_3_NoWay_1_Mia",62909333546,"So it was you!"
"Dialogs_GroceryStory_3_NoWay_2_Player",62909333547,"I guess..."
"Dialogs_GroceryStory_3_NoWay_3_Mia",62909333548,"We'll be working together..."
"Dialogs_GroceryStory_3_NoWay_4_Mia",62909333549,"That's sooooo cool"
"Dialogs_GroceryStory_3_NoWay_5_Player",62909333550,"The woman on the phone said someone would be expecting me"
"Dialogs_GroceryStory_3_NoWay_6_Player",62909333551,"I guess she was talking about you"
"Dialogs_GroceryStory_3_NoWay_7_Mia",62909333552,"Yeah"
"Dialogs_GroceryStory_3_NoWay_8_Mia",62909333553,"Lea called me this morning"
"Dialogs_GroceryStory_3_NoWay_9_Mia",62909333554,"Said there'll be a new worker coming today"
"Dialogs_GroceryStory_3_NoWay_10_Mia",62909333555,"And that I should show him—<?emotion=14>well, I mean you—around"
"Dialogs_GroceryStory_3_NoWay_11_Player",62909333556,"Lea... so that's her name"
"Dialogs_GroceryStory_3_NoWay_12_Mia",62909333557,"Yes... didn't she introduce herself?"
"Dialogs_GroceryStory_3_NoWay_13_Player",62909333558,"No"
"Dialogs_GroceryStory_3_NoWay_14_Mia",62909333559,"That sounds just like her"
"Dialogs_GroceryStory_3_NoWay_15_Mia",62909333560,"When I applied for the job, she didn’t even ask my name"
"Dialogs_GroceryStory_3_NoWay_16_Mia",62909333561,"But whatever..."
"Dialogs_GroceryStory_3_NoWay_17_Mia",62909333562,"Forget Lea..."
"Dialogs_GroceryStory_3_NoWay_18_Mia",62909333563,"Technically, I'm your boss now..."
"Dialogs_GroceryStory_3_NoWay_19_Mia",62909333564,"So get over here, your shift has already started"
"Dialogs_GroceryStory_4_ExplainHowToWork_0_Mia",62909333565,"So this is your workspace"
"Dialogs_GroceryStory_4_ExplainHowToWork_1_Mia",62909333566,"And this..."
"Dialogs_GroceryStory_4_ExplainHowToWork_2_Mia",62909333567,"And this is your working tool"
"Dialogs_GroceryStory_4_ExplainHowToWork_3_Mia",62909333568,"That's it"
"Dialogs_GroceryStory_4_ExplainHowToWork_4_Player",62909333569,"That's a lot of information to take in..."
"Dialogs_GroceryStory_4_ExplainHowToWork_5_Mia",62909333570,".  .  ."
"Dialogs_GroceryStory_4_ExplainHowToWork_6_Mia",62909333571,"That's pretty much it"
"Dialogs_GroceryStory_4_ExplainHowToWork_7_Mia",62909333572,"Ah and there..."
"Dialogs_GroceryStory_4_ExplainHowToWork_8_Mia",62909333573,"There’s the storeroom"
"Dialogs_GroceryStory_4_ExplainHowToWork_9_Mia",62909333574,"Feel free to chill there on your break"
"Dialogs_GroceryStory_4_ExplainHowToWork_10_Mia",62909333575,"Have a meal or whatever you like doing in your free time..."
"Dialogs_GroceryStory_5_StartWork_0_Player",62909333576,"Got it!"
"Dialogs_GroceryStory_5_StartWork_1_Mia",62909333577,"Alright!"
"Dialogs_GroceryStory_5_StartWork_2_Mia",62909333578,"Let's work then!"
"Dialogs_GroceryStory_6_JobFinished_0_Mia",62909333579,"Congratulations on your first shift"
"Dialogs_GroceryStory_6_JobFinished_1_Mia",62913527808,"You did super well!"
"Dialogs_GroceryStory_7_ThankYou_0_Player",62913527809,"Thank you"
"Dialogs_GroceryStory_7_ThankYou_1_Mia",62913527810,"You're welcome"
"Dialogs_GroceryStory_7_ThankYou_2_Player",62913527811,"But how is the shift over already?"
"Dialogs_GroceryStory_7_ThankYou_3_Player",62913527812,"Isn't one shift like 8 hours long?"
"Dialogs_GroceryStory_7_ThankYou_4_Mia",62913527813,"Who told you that?"
"Dialogs_GroceryStory_7_ThankYou_5_Mia",62913527814,"Well... no matter who told you that"
"Dialogs_GroceryStory_7_ThankYou_6_Mia",62913527815,"That person is wrong"
"Dialogs_GroceryStory_7_ThankYou_7_Mia",62913527816,"At our shop, the shift is only half as long as the one you described"
"Dialogs_GroceryStory_7_ThankYou_8_Mia",62913527817,"Basically, it means the shift runs from morning until noon"
"Dialogs_GroceryStory_7_ThankYou_9_Mia",62913527818,"Then there's the lunch break"
"Dialogs_GroceryStory_7_ThankYou_10_Mia",62913527819,"Then it just goes on like before, until evening"
"Dialogs_GroceryStory_7_ThankYou_11_Mia",62913527820,"Understood?"
"Dialogs_GroceryStory_7_1Yes_0_Player",62913527821,"Yes..."
"Dialogs_GroceryStory_7_1Yes_1_Mia",62913527822,"Yaaay"
"Dialogs_GroceryStory_7_1Yes_2_Mia",62913527823,"Ah... and remember"
"Dialogs_GroceryStory_7_1Yes_3_Mia",62913527824,"You don't work in the evenings or at night"
"Dialogs_GroceryStory_7_1Yes_4_Mia",62913527825,"If only Lea hadn't said you should"
"Dialogs_GroceryStory_7_1Yes_5_Mia",62913527826,"But I assume she didn't"
"Dialogs_GroceryStory_7_1Yes_6_Player",62913527827,"""She did not"""
"Dialogs_GroceryStory_7_1Yes_7_Mia",62913527828,"Yeah... then you don't"
"Dialogs_GroceryStory_7_1Yes_8_Player",62913527829,"Ok..."
"Dialogs_GroceryStory_7_1Yes_9_Mia",62913527830,"So..."
"Dialogs_GroceryStory_7_1Yes_10_Mia",62913527831,"Now you can work one more shift if you want"
"Dialogs_GroceryStory_7_1Yes_11_Mia",62913527832,"Or don't, if you don't want to"
"Dialogs_GroceryStory_7_1Yes_12_Player",62913527833,"These are... super flexible hours"
"Dialogs_GroceryStory_7_1Yes_13_Mia",62913527834,"Yep, it's true"
"Dialogs_GroceryStory_7_1Yes_14_Mia",62913527835,"See ya"
"Dialogs_GroceryStory_7_2WorkDone_0_Player",62913527836,"Nice, one shift is done"
"Dialogs_GroceryStory_7_2WorkDone_1_Player",62913527837,"Let's look for Mia"
"Dialogs_GroceryStory_7_3FoundMia_0_Mia",62913527838,"Hello"
"Dialogs_GroceryStory_7_3FoundMia_1_Mia",62913527839,"Looking for something?"
"Dialogs_GroceryStory_7_4FoundMiaCont_0_Player",62913527840,"Not really... I just finished my shift"
"Dialogs_GroceryStory_7_4FoundMiaCont_1_Player",62913527841,"Don't have much to do right now"
"Dialogs_GroceryStory_7_4FoundMiaCont_2_Player",62913527842,"I see you're eating. I won’t bother you then"
"Dialogs_GroceryStory_7_4FoundMiaCont_3_Mia",62913527843,"Oh, don't worry about that"
"Dialogs_GroceryStory_7_4FoundMiaCont_4_Mia",62913527844,"It's still too hot to eat"
"Dialogs_GroceryStory_7_4FoundMiaCont_5_Mia",62913527845,"Letting it cool down a little"
"Dialogs_GroceryStory_7_5WhatIsThis_0_Player",62913527846,"What is it, that you're eating?"
"Dialogs_GroceryStory_7_5WhatIsThis_1_Mia",62913527847,"It's BigDak ramen"
"Dialogs_GroceryStory_7_5WhatIsThis_2_Mia",62913527848,"Haven't you heard of it?"
"Dialogs_GroceryStory_7_5WhatIsThis_3_Player",62913527849,"No..."
"Dialogs_GroceryStory_7_5WhatIsThis_4_Mia",62913527850,"It’s just instant noodles"
"Dialogs_GroceryStory_7_5WhatIsThis_5_Mia",62913527851,"It's super popular right now and tastes fantastic"
"Dialogs_GroceryStory_7_6Unhealthy_0_Player",62913527852,"It seems kind of unhealthy"
"Dialogs_GroceryStory_7_6Unhealthy_1_Mia",62913527853,"That's because it totally is"
"Dialogs_GroceryStory_7_6Unhealthy_2_Mia",62913527854,"But it just tastes heavenly"
"Dialogs_GroceryStory_7_6Unhealthy_3_Mia",62913527855,"And to be fair, I don't really enjoy cooking myself"
"Dialogs_GroceryStory_7_6Unhealthy_4_Mia",62913527856,"So, it saves me a lot of time"
"Dialogs_GroceryStory_7_7Tasty_0_Player",62913527857,"Looks tasty"
"Dialogs_GroceryStory_7_7Tasty_1_Mia",62913527858,"It is"
"Dialogs_GroceryStory_7_7Tasty_2_Mia",62913527859,"And it's super fast to prepare, too"
"Dialogs_GroceryStory_7_7Tasty_3_Mia",62913527860,"It's a double kill for me"
"Dialogs_GroceryStory_7_7Tasty_4_Mia",62913527861,"It saves me time and tastes like heaven"
"Dialogs_GroceryStory_7_7Tasty_5_Mia",62913527862,"You should try it"
"Dialogs_GroceryStory_7_7Tasty_6_Mia",62913527863,"We'll just need to wait for the ramen to cool down a bit"
"Dialogs_GroceryStory_7_8Continue_0_Mia",62913527864,"By the way"
"Dialogs_GroceryStory_7_8Continue_1_Mia",62913527865,"I don't remember seeing you eat during your lunch break"
"Dialogs_GroceryStory_7_8Continue_2_Mia",62913527866,"How come?"
"Dialogs_GroceryStory_7_8_1DontEat_0_Player",62913527867,"I don’t usually feel hungry during lunch"
"Dialogs_GroceryStory_7_8_1DontEat_1_Player",62913527868,"I've been skipping it since I was a kid"
"Dialogs_GroceryStory_7_8_1DontEat_2_Mia",62913527869,"Oh..."
"Dialogs_GroceryStory_7_8_2DontLikeEating_0_Player",62913527870,"I don't like eating"
"Dialogs_GroceryStory_7_8_2DontLikeEating_1_Mia",62913527871,"<shake>Ha-ha-ha</shake>"
"Dialogs_GroceryStory_7_8_2DontLikeEating_2_Mia",62913527872,"That's funny"
"Dialogs_GroceryStory_8_MiaInvite_0_Mia",62913527873,"I thought..."
"Dialogs_GroceryStory_8_MiaInvite_1_Mia",62913527874,"Since we've been working together for a few days now..."
"Dialogs_GroceryStory_8_MiaInvite_2_Mia",62913527875,"And you always skipped your lunch break..."
"Dialogs_GroceryStory_8_MiaInvite_3_Mia",62913527876,"Maybe we could have a lunch together..."
"Dialogs_GroceryStory_8_MiaInvite_4_Mia",62913527877,"For team-building purposes, of course"
"Dialogs_GroceryStory_8_MiaInvite_5_Mia",62913527878,"Since we’ve barely interacted at work"
"Dialogs_GroceryStory_8_1Date_0_Player",62913527879,"Are you inviting me on a date?"
"Dialogs_GroceryStory_8_1Date_1_Mia",62913527880,"<shake>Eeeehhhh?</shake>"
"Dialogs_GroceryStory_8_1Date_2_Mia",62913527881,"<shake>N.... NO....</shake>"
"Dialogs_GroceryStory_8_1Date_3_Mia",62913527882,"I already said, it's strictly for a professional reason"
"Dialogs_GroceryStory_8_1_1Yes_0_Player",62913527883,"Yes, this sounds cool"
"Dialogs_GroceryStory_8_1_1Yes_1_Mia",62913527884,"<shake>Yaaay</shake>"
"Dialogs_GroceryStory_8_1_1Yes_2_Player",62913527885,"Where would you like to go?"
"Dialogs_GroceryStory_8_1_1Yes_3_Player",62913527886,"I could take you somewhere, of course, but you know..."
"Dialogs_GroceryStory_8_1_1Yes_4_Player",62913527887,"I don’t really know many places here..."
"Dialogs_GroceryStory_8_2Nice_0_Player",62913527888,"Sounds like a nice idea"
"Dialogs_GroceryStory_8_2Nice_1_Player",62913527889,"Where would you like to go?"
"Dialogs_GroceryStory_9_BarInvite_0_Mia",62913527890,"Oh, right..."
"Dialogs_GroceryStory_9_BarInvite_1_Mia",62913527891,"Let me think"
"Dialogs_GroceryStory_9_BarInvite_2_Mia",62913527892,".  .  ."
"Dialogs_GroceryStory_9_BarInvite_3_Mia",62913527893,"I know one place"
"Dialogs_GroceryStory_9_BarInvite_4_Mia",62913527894,"It's one of my favourites"
"Dialogs_GroceryStory_9_BarInvite_5_Mia",62913527895,"But it's not actually a lunch place"
"Dialogs_GroceryStory_9_BarInvite_6_Mia",62913527896," Still, it’ll serve our professional purposes"
"Dialogs_GroceryStory_9_BarInvite_7_Mia",62913527897,"Let's meet at the store in the evening"
"Dialogs_GroceryStory_9_BarInvite_8_Mia",62913527898,"I'll show you the place"
"Dialogs_GroceryStory_9_1Ok_0_Player",62913527899,"Ok"
"Dialogs_GroceryStory_10_Date_0_Mia",62913527900,"Are you ready?"
"Dialogs_GroceryStory_11_Yes_0_Player",62913527901,"Yes!"
"Dialogs_GroceryStory_11_Yes_1_Mia",62913527902,"Follow me then"
"Dialogs_GroceryStory_11_Yes_2_Player",62913527903,"Where are we going?"
"Dialogs_GroceryStory_11_Yes_3_Mia",62913527904,"You'll see"
"Dialogs_GroceryStory_FoundMia_0_Mia",62913527905,"Don't mind me"
"Dialogs_GroceryStory_FoundMia_1_Mia",62913527906,"I'm just going through the products"
"Dialogs_GroceryStory_FoundMia_2_Mia",62913527907,"Making sure everything is on its place"
"Dialogs_GroceryStory_FoundMia_3_Player",62913527908,"""I guess I better don't distract her"""
"Dialogs_GroceryStory_MiaStoringRoom_1_AreYouSerious_0_Player",62913527909,"Are you serious? You took me to the <shake>STORE</shake>?"
"Dialogs_GroceryStory_MiaStoringRoom_2_Shh_0_Mia",62913527910,"Shhh~"
"Dialogs_GroceryStory_MiaStoringRoom_3_WannaEat_0_Mia",62913527911,"So you want to try that ramen?"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_0_Player",62917722112,"Yes"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_1_Mia",62917722113,"Sure"
"Dialogs_GroceryStory_MiaStoringRoom_3_1Yes_2_Mia",62917722114,"Come closer then"
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_0_Player",62917722115,"No, thank you"
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_1_Mia",62917722116,"Hm..."
"Dialogs_GroceryStory_MiaStoringRoom_3_2No_2_Mia",62917722117,"See you later then"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_0_Mia",62917722118,"So?"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_1_Mia",62917722119,"What do you say?"
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_2_Player",62917722120,"""It tastes... well, interesting"""
"Dialogs_GroceryStory_MiaStoringRoom_4_OpinionOnRamen_3_Player",62917722121,"""But my tongue burns like hell"""
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_0_Player",62917722122,"It's too spicy"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_1_Mia",62917722123,"Need some milk?"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_2_Player",62917722124,"No... I'm fine"
"Dialogs_GroceryStory_MiaStoringRoom_4_1TooSpicy_3_Mia",62917722125,"Alright..."
