Key,Id,French(fr)
"Dialogs_Actions_ShowerGeneric_0_Player",62879973376,"On dirait que quelqu’un est sous la douche. Je ferais mieux de ne pas déranger…"
"Dialogs_Actions_ToiletGeneric_0_Player",62905139200,"La porte est fermée."
"Dialogs_Generic_ChangeSportClothes_0_Player",62905139201,"""Je dois d’abord mettre ma tenue de sport."""
"Dialogs_Generic_ClosedDoorBasic_0_Player",62905139202,"""Pas de réponse..."""
"Dialogs_Generic_Date_Appointment_2_CantGo_0_Player",62909333504,"Je suis désolé"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_0_Mia",62909333505,"Pourquoi pars-tu si tôt?"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_1_Mia",62909333506,"Prochaine fois"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_GoodDate_0_Mia",62909333507,"C'était vraiment sympa"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_0_Mia",62909333508,"Waouh"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_1_Mia",62909333509,"On doit le refaire!"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_LastStageDialog_0_Mia",62909333510,"Je dois y aller maintenant"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_BadDate_0_Mia",62909333511,"C'était sympa..."
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_GoodDate_0_Mia",62909333512,"C'était une nuit sympa"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_0_Mia",62909333513,"Je me suis bien amusé avec toi aujourd'hui"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_1_Mia",62909333514,"Faisons le encore une autre fois"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Test_0_Player",62909333515,"Test"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_0_Mia",62909333516,"C'était un peu trop court"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_1_Mia",62909333517,"Espérons que tu sois moins pressé la prochaine fois que tu m'invites"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_GoodDate_0_Mia",62909333518,"C'était une nuit sympa"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_0_Mia",62909333519,"Waouh"
"Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_1_Mia",62909333520,"On doit remettre ça!"
"Dialogs_Generic_Date_Bar_GamePlayerLostMorph1_0_LastSpoken",62909333521,"Ah-ah!"
"Dialogs_Generic_Date_Bar_PlayGame_0_Player",62909333522,"Jouons à un jeu"
"Dialogs_Generic_Date_Bar_PlayGame_1_LastSpoken",62909333523,"Bien sûr"
"Dialogs_Generic_Date_ReactToOrder_0_Mia",62909333524,"Merci"
"Dialogs_Generic_Date_Restaurant_AfterScenes_GoodDate_0_Sarah",62909333525,"Je m'amuse tellement"
"Dialogs_Generic_Date_Restaurant_AfterScenes_NotGoodDate_0_Sarah",62909333526,"C'était... sympa"
"Dialogs_Generic_Date_Restaurant_LetsOrder_0_LastSpoken",62909333527,"Commandons autre chose maintenant"
"Dialogs_Generic_KnockGeneric_0_Player",62909333528,"*Toc toc*"
"Dialogs_Generic_KnockGeneric_1_LastSpoken",62909333529,"Entrez!"
