Key,Id,Português Brasileiro(pt-br)
Dialogs_Actions_ShowerGeneric_0_Player,62879973376,Consigo ouvir alguém a tomar banho. É melhor não incomodar...
Dialogs_Actions_ToiletGeneric_0_Player,62905139200,A porta está trancada.
Dialogs_Generic_ChangeSportClothes_0_Player,62905139201,“Vamos trocar para as roupas de ginástica primeiro”
Dialogs_Generic_ClosedDoorBasic_0_Player,62905139202,"""Sem resposta..."""
Dialogs_Generic_Date_Appointment_2_CantGo_0_Player,62909333504,"Desculpe, mas hoje não podemos ir."
Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_0_Mia,62909333505,Por que você está a saindo tão cedo?
Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_BadDate_1_Mia,62909333506,"Da próxima vez, certifique-se de que tem tempo suficiente antes de me convidar."
Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_GoodDate_0_Mia,62909333507,"Foi tão bom, @{player}"
Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_0_Mia,62909333508,"Uau, foi muito divertido"
Dialogs_Generic_Date_Bar_AfterScene_Mia_Drunk_ReallyGoodDate_1_Mia,62909333509,Temos que repetir isso!
Dialogs_Generic_Date_Bar_AfterScene_Mia_LastStageDialog_0_Mia,62909333510,Eu tenho que ir agora
Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_BadDate_0_Mia,62909333511,Foi divertido...
Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_GoodDate_0_Mia,62909333512,Foi uma noite agradável
Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_0_Mia,62909333513,"Eu me diverti muito com você hoje, @{player}"
Dialogs_Generic_Date_Bar_AfterScene_Mia_Sober_ReallyGoodDate_1_Mia,62909333514,Vamos fazer isso de novo algum dia
Dialogs_Generic_Date_Bar_AfterScene_Mia_Test_0_Player,62909333515,Teste
Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_0_Mia,62909333516,Foi um pouco curto demais
Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_BadDate_1_Mia,62909333517,Espero que você esteja menos apressado da próxima vez que me convidar
Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_GoodDate_0_Mia,62909333518,"Foi uma noite agradável, @{player}"
Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_0_Mia,62909333519,"Uau, eu me diverti muito"
Dialogs_Generic_Date_Bar_AfterScene_Mia_Typsy_ReallyGoodDate_1_Mia,62909333520,Temos que repetir isso!
Dialogs_Generic_Date_Bar_GamePlayerLostMorph1_0_LastSpoken,62909333521,Ha-ha!
Dialogs_Generic_Date_Bar_PlayGame_0_Player,62909333522,Vamos jogar um jogo
Dialogs_Generic_Date_Bar_PlayGame_1_LastSpoken,62909333523,Claro
Dialogs_Generic_Date_ReactToOrder_0_Mia,62909333524,Obrigado
Dialogs_Generic_Date_Restaurant_AfterScenes_GoodDate_0_Sarah,62909333525,Estou me divertindo muito
Dialogs_Generic_Date_Restaurant_AfterScenes_NotGoodDate_0_Sarah,62909333526,Foi... legal
Dialogs_Generic_Date_Restaurant_LetsOrder_0_LastSpoken,62909333527,Vamos pedir algo agora
Dialogs_Generic_KnockGeneric_0_Player,62909333528,*Knock knock*
